,pdfname,energy_system_uop,renewable_energy,re_scores ,energy_efficiency,ee_scores,pollution_prevention_and_control,ppc_scores,environmentally_sustainable_management_of_living_natural_resources_and_land_use,esml_scores,terrestrial_and_aquatic_biodiversity_conservation,tabc_scores,clean_transportation,ct_scores,sustainable_water_and_wastewater_management,swwm_scores,climate_change_adaptation,cca_scores,circular_economy_and_or_ecoefficient_projects,ce_scores,green_buildings,gb_scores
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"dict_keys(['generation generation', 'power power', 'renewable renewable', 'solar solar', 'transmission transmission'])","dict_values([0.8221270442008972, 1.0, 1.0, 1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
1,SONDA_S_A__GREEN_BOND_FRAMEWORK,True,"dict_keys(['renewable renewable', 'wind wind', 'solar solar', 'biomass biomass'])","dict_values([1.0, 1.0, 1.0, 1.0])",dict_keys(['efficiency efficiency']),dict_values([1.0]),dict_keys(['waste waste']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['buildings buildings']),dict_values([1.0])
2,CIFI_Green_Bond_Framework,True,"dict_keys(['biomass biomass', 'power power', 'renewable renewable', 'solar solar', 'hydropower hydropower', 'hydroelectric hydropower', 'wind wind'])","dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 0.885119616985321, 1.0])",dict_keys([]),dict_values([]),dict_keys(['waste waste']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['treatment treatment', 'wastewater wastewater'])","dict_values([1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys(['recycle recycling']),dict_values([0.8278464674949646]),dict_keys([]),dict_values([])
3,BTG_Sustainable_Financing_Framework,True,"dict_keys(['grid grid', 'renewable renewable', 'biofuel biofuel', 'transmission transmission', 'wind wind', 'power power', 'solar solar', 'hydropower hydropower', 'hydroelectric hydropower', 'generation generation', 'hydrogen hydrogen'])","dict_values([0.8128994703292847, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.885119616985321, 1.0, 1.0])",dict_keys(['efficiency efficiency']),dict_values([1.0]),"dict_keys(['pollution pollution', 'waste waste'])","dict_values([1.0, 1.0])","dict_keys(['food food', 'agriculture agriculture', 'agriculture agricultural', 'forest forest', 'land land', 'land “'])","dict_values([1.0, 1.0, 0.898859441280365, 0.8461655378341675, 1.0, 0.8367156982421875])","dict_keys(['biodiversity biodiversity', 'conservation conservation', 'biodiversity ecosystems', 'terrestrial terrestrial'])","dict_values([0.8632800579071045, 1.0, 0.8021105527877808, 1.0])","dict_keys(['rail rail', 'electric electric', 'vehicle vehicles', 'transportation transportation', 'battery battery', 'charger battery', 'vehicle vehicle'])","dict_values([1.0, 0.8524656295776367, 0.8584986925125122, 1.0, 1.0, 0.8197756409645081, 1.0])","dict_keys(['wastewater wastewater', 'water water', 'sanitation sanitation', 'treatment treatment'])","dict_values([1.0, 0.8583021759986877, 0.8295572996139526, 0.8470622897148132])","dict_keys(['adaptation adaptation', 'disaster disasters'])","dict_values([1.0, 0.8176723718643188])",dict_keys(['recycle recycling']),dict_values([0.8278464674949646]),"dict_keys(['housing housing', 'buildings buildings'])","dict_values([1.0, 0.8454830050468445])"
4,Genneia_Green_Bond_Framework,True,"dict_keys(['renewable renewable', 'wind wind', 'solar solar'])","dict_values([1.0, 1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['battery battery', 'charger battery'])","dict_values([1.0, 0.8197756409645081])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
5,FS_Green_Bond_Framework_-_July_2021,True,"dict_keys(['generation generation', 'biomass biomass', 'biofuel biofuel'])","dict_values([1.0, 0.8435052633285522, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['forest forests', 'agriculture agricultural', 'land lands', 'land land', 'agriculture agriculture', 'forestry forestry', 'forest forest'])","dict_values([0.8802252411842346, 0.898859441280365, 0.8242226839065552, 1.0, 1.0, 1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys(['car car']),dict_values([1.0]),dict_keys(['water water']),dict_values([0.8583021759986877]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
6,ILAP_Green_Financing_Framework,True,"dict_keys(['generation generation', 'power power', 'wind wind', 'renewable renewable', 'transmission transmission', 'grid grid'])","dict_values([0.8221270442008972, 1.0, 1.0, 1.0, 1.0, 0.8339791297912598])",dict_keys([]),dict_values([]),dict_keys(['pollution pollution']),dict_values([1.0]),dict_keys([]),dict_values([]),"dict_keys(['conservation conservation', 'biodiversity biodiversity'])","dict_values([0.8356547355651855, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['adaptation adaptation']),dict_values([0.8294525742530823]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
7,EGE_Haina_Green_Securities_Framework,True,"dict_keys(['generation generation', 'power power', 'renewable renewable', 'wind wind', 'solar solar', 'transmission transmission'])","dict_values([1.0, 1.0, 1.0, 1.0, 1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['land land']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys(['electric electric']),dict_values([1.0]),dict_keys(['water water']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
8,CADU_GREEN_BOND_FRAMEWORK,False,dict_keys([]),dict_values([]),dict_keys(['efficiency efficiency']),dict_values([1.0]),dict_keys(['waste waste']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['water water', 'wastewater sewage'])","dict_values([0.8583021759986877, 0.8658150434494019])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['buildings buildings', 'housing housing'])","dict_values([1.0, 1.0])"
9,Bci_Sustainable_Financing_Framework,True,"dict_keys(['generation generation', 'power power', 'transmission transmission', 'hydrogen hydrogen', 'renewable renewable', 'wind wind', 'solar solar', 'grid grids'])","dict_values([1.0, 0.8561059832572937, 1.0, 1.0, 1.0, 0.861217200756073, 1.0, 0.8352745771408081])",dict_keys(['efficiency efficiency']),dict_values([1.0]),dict_keys(['waste waste']),dict_values([1.0]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),"dict_keys(['electric electric', 'vehicle vehicles', 'car car', 'transportation transportation'])","dict_values([1.0, 0.8584986925125122, 1.0, 1.0])","dict_keys(['water water', 'potable potable', 'treatment treatment', 'wastewater wastewater'])","dict_values([1.0, 1.0, 1.0, 1.0])",dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['buildings buildings']),dict_values([1.0])
