,pdfname,energy_system_uop,renewable_energy,re_scores ,energy_efficiency,ee_scores,pollution_prevention_and_control,ppc_scores,environmentally_sustainable_management_of_living_natural_resources_and_land_use,esml_scores,terrestrial_and_aquatic_biodiversity_conservation,tabc_scores,clean_transportation,ct_scores,sustainable_water_and_wastewater_management,swwm_scores,climate_change_adaptation,cca_scores,circular_economy_and_or_ecoefficient_projects,ce_scores,green_buildings,gb_scores
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"dict_keys(['renewable energy', 'renewable renewable', 'renewable electricity', 'solar photovoltaic', 'solar solar', 'solar electricity', 'bioenergy renewable', 'biofuel renewable', 'biomass renewable', 'power power', 'power energy', 'transmission transmission', 'generation generation'])","dict_values([0.6823998093605042, 1.0, 0.6735955476760864, 0.7906877398490906, 1.0, 0.655821681022644, 0.6511064171791077, 0.6902978420257568, 0.6758356690406799, 1.0, 0.6578531265258789, 1.0, 0.8221270442008972])",dict_keys([]),dict_values([]),dict_keys(['pollution emissions']),dict_values([0.6611024141311646]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['electric electricity']),dict_values([0.671796441078186]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys([]),dict_values([])
1,Green_Bonds_Framework_Athon_2020,True,"dict_keys(['energia energia', 'bioenergia energia', 'Hidrelétrica usina', 'potência energia', 'transmissão emissão', 'transmissão fornecimento', 'transmissão operação', 'geração geração'])","dict_values([0.9084944128990173, 0.7116448879241943, 0.7162181735038757, 0.6578938364982605, 0.6591728329658508, 0.6535661816596985, 0.6604628562927246, 1.0])","dict_keys(['eficiência refinanciamentos', 'eficiência segurança', 'eficiência equipamentos', 'eficiência planejamento', 'eficiência investimento', 'eficiência fornecimento', 'eficiência necessidade', 'eficiência operacional', 'eficiência empreendimento', 'eficiência equipamento', 'eficiência operação', 'eficiência qualidade', 'eficiência implementação'])","dict_values([0.6505798697471619, 0.7473786473274231, 0.6624636650085449, 0.6579378843307495, 0.6774892210960388, 0.6776437759399414, 0.7167710661888123, 0.6942322850227356, 0.6568246483802795, 0.6696411371231079, 0.6674121618270874, 0.8311229348182678, 0.7397205233573914])",dict_keys(['resíduos alimentos']),dict_values([0.6529195308685303]),dict_keys(['alimentares alimentos']),dict_values([0.8313022255897522]),"dict_keys(['biodiversidade socioambientais', 'biodiversidade qualidade', 'conservação construção', 'conservação refinanciamentos', 'conservação ambientais', 'conservação segurança', 'conservação planejamento', 'conservação fornecimento', 'conservação desenvolvimento', 'conservação socioambientais', 'conservação empreendimento', 'conservação qualidade', 'conservação implantação', 'conservação implementação'])","dict_values([0.7189401984214783, 0.6525453329086304, 0.6524606347084045, 0.659432053565979, 0.6527328491210938, 0.6583769917488098, 0.6799431443214417, 0.7155267596244812, 0.6565042734146118, 0.6828733682632446, 0.6701948046684265, 0.6894183158874512, 0.6692212820053101, 0.7602472901344299])","dict_keys(['transporte equipamentos', 'transporte fornecimento', 'transporte equipamento', 'Elev norland', 'Elev documento', 'Elev gwh', 'Elev seguir', 'Elev pará', 'Elev domésticas', 'Elev desenvolvimento', 'Elev mentoria', 'Elev capacidade', 'Elev trabalho', 'Elev ambiental', 'Elev marabá', 'Elev equipamentos', 'Elev brasil', 'Elev implantado'])","dict_values([0.6563118696212769, 0.7487650513648987, 0.7077468633651733, 0.8765970468521118, 0.7636730670928955, 0.8765970468521118, 0.7292357087135315, 0.763028085231781, 0.8492071628570557, 0.8341999053955078, 0.8052674531936646, 0.8276458382606506, 0.8066929578781128, 0.8465332388877869, 0.8400039672851562, 0.8798730373382568, 0.7715827822685242, 0.8595749735832214])","dict_keys(['saneamento construção', 'saneamento refinanciamentos', 'saneamento planejamento', 'saneamento investimento', 'saneamento fornecimento', 'saneamento socioambientais', 'saneamento empreendimento', 'saneamento implementação', 'tratamento processo', 'tratamento planejamento', 'tratamento fornecimento', 'tratamento empreendimento', 'tratamento equipamento'])","dict_values([0.6654408574104309, 0.6842076182365417, 0.7468856573104858, 0.7019835114479065, 0.7557966709136963, 0.6705000996589661, 0.7228854298591614, 0.7179558277130127, 0.6779910326004028, 0.683057427406311, 0.7150124907493591, 0.6701369285583496, 0.6685330867767334])","dict_keys(['adaptação construção', 'adaptação implementação'])","dict_values([0.6819092035293579, 0.7532346844673157])",dict_keys([]),dict_values([]),"dict_keys(['construções ações', 'construções construção', 'construções comunidades', 'construções fontes', 'construções práticas', 'Aparelhos equipamentos', 'alojamento fornecimento', 'alojamento empreendimento', 'alojamento equipamento'])","dict_values([0.671953022480011, 0.7227913737297058, 0.7177586555480957, 0.6656540632247925, 0.6959058046340942, 0.6934346556663513, 0.6824471354484558, 0.6825461983680725, 0.6826189160346985])"
2,Cartilla_Bonos_Verdes,True,"dict_keys(['renovable renovables', 'renovable sostenible', 'renovable energética', 'renovable energético', 'renovable renovable', 'bioenergía energía', 'bioenergía energías', 'bioenergía energético', 'biocombustible combustibles', 'biocombustible combustible', 'biomasa biogás', 'hidroelectricidad aprovechamiento', 'hidroelectricidad infraestructura', 'hidroelectricidad energéticos', 'hidroelectricidad energía', 'hidroelectricidad combustibles', 'hidroelectricidad mantenimiento', 'hidroelectricidad construcción', 'hidroelectricidad producción', 'hidroelectricidad aprovechamientos', 'hidroelectricidad energética', 'hidroelectricidad instalación', 'hidroelectricidad energético', 'hidroelectricidad combustible', 'hidroelectricidad abastecimiento', 'hidroelectricidad productividad', 'hidroelectricidad almacenamiento', 'hidroelectricidad automatización', 'hidroelectricidad eléctricos', 'hidroelectricidad distribución', 'hidroelectricidad potable', 'hidroelectricidad eficiencia', 'potencia energía', 'potencia eﬁciencia', 'potencia generación', 'potencia producción', 'potencia transmisión', 'potencia convencional', 'potencia calidad', 'potencia productividad', 'potencia automatización', 'potencia unidad', 'potencia eficiencia', 'cuadrícula iii', 'cuadrícula h', 'cuadrícula plasma', 'cuadrícula g', 'cuadrícula b', 'cuadrícula d', 'cuadrícula (', 'cuadrícula fósil', 'cuadrícula iv', 'cuadrícula c', 'cuadrícula i', 'cuadrícula f', 'cuadrícula ii', 'Transporte transporte', 'generación aprovechamiento', 'generación infraestructura', 'generación renovación', 'generación eﬁciencia', 'generación operación', 'generación generación', 'generación recuperación', 'generación innovación', 'generación participación', 'generación construcción', 'generación producción', 'generación transmisión', 'generación restauración', 'generación utilización', 'generación convencional', 'generación implementación', 'generación convencionales', 'generación acción', 'generación evaluación', 'generación instalación', 'generación colocación', 'generación tecnología', 'generación promoción', 'generación adquisición', 'generación transición', 'generación calificación', 'generación productividad', 'generación automatización', 'generación financiación', 'generación distribución', 'generación integración', 'generación reducción', 'generación unidad', 'generación desarrollo', 'generación planeación', 'generación sostenibilidad', 'generación eficiencia', 'generación clasificación'])","dict_values([0.7942190170288086, 0.6984525918960571, 0.6642146110534668, 0.6615170836448669, 0.69474858045578, 0.8198480606079102, 0.7118174433708191, 0.6975561380386353, 0.7683594226837158, 0.8335129022598267, 0.6812983751296997, 0.6649933457374573, 0.7070143222808838, 0.713127076625824, 0.6756051182746887, 0.6864262819290161, 0.6649008989334106, 0.6734979748725891, 0.6961798071861267, 0.653901219367981, 0.6803413033485413, 0.686528205871582, 0.7075358629226685, 0.6750679612159729, 0.7087399959564209, 0.6872744560241699, 0.6509690284729004, 0.6940507292747498, 0.6735696792602539, 0.6655532121658325, 0.6634895205497742, 0.7023346424102783, 0.6866230964660645, 0.6762537956237793, 0.6889737248420715, 0.6587270498275757, 0.6552308797836304, 0.6547150015830994, 0.6549222469329834, 0.723659098148346, 0.6652241945266724, 0.6825403571128845, 0.7935224771499634, 0.8252873420715332, 0.6969684362411499, 0.8057650327682495, 0.7098817825317383, 0.767885684967041, 0.7268012166023254, 0.8893733024597168, 0.7955449223518372, 0.6825799345970154, 0.7780469655990601, 0.7412607669830322, 0.7746593952178955, 0.7117248773574829, 0.6977978348731995, 0.6523851156234741, 0.6597735285758972, 0.7212381362915039, 0.7046838998794556, 0.6835851073265076, 1.0, 0.7266958951950073, 0.7469735145568848, 0.6789928674697876, 0.7284303903579712, 0.7526132464408875, 0.7020706534385681, 0.6543464064598083, 0.732789933681488, 0.651983380317688, 0.7394915223121643, 0.6934548616409302, 0.6546356081962585, 0.6569541096687317, 0.6636047959327698, 0.6672092080116272, 0.6990413665771484, 0.6573736667633057, 0.7474660873413086, 0.7460809350013733, 0.6654953360557556, 0.7128046154975891, 0.7448585629463196, 0.658118724822998, 0.7203570604324341, 0.7778623104095459, 0.7046442627906799, 0.6567552089691162, 0.6804523468017578, 0.668190598487854, 0.6921684741973877, 0.6963879466056824, 0.6663973331451416])","dict_keys(['red red', 'acondicionar mantenimiento', 'acondicionar instalación'])","dict_values([0.7134368419647217, 0.6677801609039307, 0.6647116541862488])","dict_keys(['contaminación aprovechamiento', 'contaminación infraestructura', 'contaminación ambiental', 'contaminación renovación', 'contaminación energéticos', 'contaminación eﬁciencia', 'contaminación operación', 'contaminación generación', 'contaminación recuperación', 'contaminación mantenimiento', 'contaminación construcción', 'contaminación producción', 'contaminación aprovechamientos', 'contaminación transmisión', 'contaminación recolección', 'contaminación restauración', 'contaminación protección', 'contaminación utilización', 'contaminación seguridad', 'contaminación implementación', 'contaminación condición', 'contaminación convencionales', 'contaminación acción', 'contaminación evaluación', 'contaminación instalación', 'contaminación colocación', 'contaminación naturales', 'contaminación inundaciones', 'contaminación transición', 'contaminación abastecimiento', 'contaminación gasificación', 'contaminación calificación', 'contaminación productividad', 'contaminación certificación', 'contaminación automatización', 'contaminación financiación', 'contaminación distribución', 'contaminación integración', 'contaminación reducción', 'contaminación planeación', 'contaminación sostenibilidad', 'contaminación eficiencia', 'contaminación ambientales', 'contaminación incidencia', 'contaminación plantaciones', 'de incluyendo', 'de de', 'de provenientes'])","dict_values([0.7311469316482544, 0.6595724821090698, 0.7083898186683655, 0.6596135497093201, 0.6549790501594543, 0.7122199535369873, 0.6891493797302246, 0.6756938099861145, 0.7461439967155457, 0.6606591939926147, 0.7008307576179504, 0.7121437191963196, 0.7098493576049805, 0.6551569700241089, 0.6639612913131714, 0.6670660972595215, 0.7310459613800049, 0.7599746584892273, 0.6603814363479614, 0.7019962668418884, 0.6681152582168579, 0.6847522854804993, 0.6629589796066284, 0.6561316251754761, 0.6878593564033508, 0.671626091003418, 0.6563764214515686, 0.6731019020080566, 0.6985132098197937, 0.7249454855918884, 0.6843897104263306, 0.6771747469902039, 0.7118159532546997, 0.6540966033935547, 0.684226930141449, 0.6506807804107666, 0.7024320363998413, 0.6911330819129944, 0.7479377388954163, 0.6586298942565918, 0.7191320657730103, 0.7124846577644348, 0.7559003829956055, 0.7746406197547913, 0.6553952693939209, 0.6531298756599426, 0.9079835414886475, 0.6573878526687622])","dict_keys(['. inteligentes', '. contaminante', '. clima', '. emisiones', '. autos', '. plasma', '. ciclismo', '. públicos', '. compuertas', '. ordinarios', '. agrícola', '. cantidad', '. naturales', '. comercial', '. desalinizadoras', '. electrificado', '. orgánicos', '. saneamiento', '. energético', '. colombiano', '. 10mw', '. público', '. ambiental', '. carga', '. carbono', '. responsable', '. infraestructura', '. minero-energética', '. sostenibles', '. upme9', '. agua', '. fondos', '. renovable', '. positivo', '. otras', '. materiales', 'Arboricultura innovación', 'Arboricultura acuicultura', 'bosque bosques', 'pesquerías pesquería', 'alimentos combustibles', 'alimentos materiales', 'alimentos productos'])","dict_values([0.8802396059036255, 0.9003280997276306, 0.7815330624580383, 0.8010292053222656, 0.7744642496109009, 0.7073985934257507, 0.878090500831604, 0.8061527609825134, 0.8945333361625671, 0.891767144203186, 0.8843717575073242, 0.8216756582260132, 0.8490776419639587, 0.8960788249969482, 0.9288363456726074, 0.9312004446983337, 0.8785515427589417, 0.8664849996566772, 0.8899020552635193, 0.9160950779914856, 1.0, 0.8320438265800476, 0.8732760548591614, 0.8002415895462036, 0.8552056550979614, 0.8858040571212769, 0.8884092569351196, 0.9393861293792725, 0.8721240758895874, 1.0, 0.6754653453826904, 0.7643617987632751, 0.8781610727310181, 0.8727385997772217, 0.7620341181755066, 0.8391605615615845, 0.6768322587013245, 0.8038574457168579, 0.7429889440536499, 0.8017709255218506, 0.6807831525802612, 0.7159398794174194, 0.7909798622131348])","dict_keys(['terrestre terrestres', 'biodiversidad aprovechamiento', 'biodiversidad infraestructura', 'biodiversidad ambiental', 'biodiversidad sostenible', 'biodiversidad eﬁciencia', 'biodiversidad innovación', 'biodiversidad acuicultura', 'biodiversidad naturales', 'biodiversidad ecosistemas', 'biodiversidad productividad', 'biodiversidad integración', 'biodiversidad sostenibilidad', 'biodiversidad ambientales', 'conservación aprovechamiento', 'conservación infraestructura', 'conservación ambiental', 'conservación renovación', 'conservación eﬁciencia', 'conservación relacionados', 'conservación operación', 'conservación generación', 'conservación especificaciones', 'conservación recuperación', 'conservación innovación', 'conservación materiales', 'conservación mantenimiento', 'conservación participación', 'conservación construcción', 'conservación producción', 'conservación generales', 'conservación residenciales', 'conservación aprovechamientos', 'conservación transmisión', 'conservación recolección', 'conservación restauración', 'conservación protección', 'conservación utilización', 'conservación convencional', 'conservación determinadas', 'conservación seguridad', 'conservación acuicultura', 'conservación implementación', 'conservación reparación', 'conservación condición', 'conservación convencionales', 'conservación evaluación', 'conservación instalación', 'conservación colocación', 'conservación naturales', 'conservación contribuyen', 'conservación sostenibles', 'conservación ecosistemas', 'conservación promoción', 'conservación adquisición', 'conservación transición', 'conservación calidad', 'conservación abastecimiento', 'conservación gasificación', 'conservación ampliación', 'conservación calificación', 'conservación contribuye', 'conservación productividad', 'conservación almacenamiento', 'conservación elegibilidad', 'conservación certificación', 'conservación automatización', 'conservación financiación', 'conservación forestales', 'conservación distribución', 'conservación tratamiento', 'conservación integración', 'conservación reducción', 'conservación gestión', 'conservación desarrollo', 'conservación planeación', 'conservación sostenibilidad', 'conservación eficiencia', 'conservación ambientales', 'conservación clasificación', 'conservación incidencia', 'conservación incineración', 'conservación plantaciones'])","dict_values([0.8388893604278564, 0.6900233626365662, 0.6639642119407654, 0.7218202948570251, 0.665263831615448, 0.7004705667495728, 0.681527853012085, 0.7810254096984863, 0.6761831641197205, 0.7638752460479736, 0.716328501701355, 0.6812890768051147, 0.7645173072814941, 0.728766918182373, 0.8383619785308838, 0.7070666551589966, 0.7266891002655029, 0.762352705001831, 0.720591127872467, 0.6715188026428223, 0.7093127369880676, 0.6858956813812256, 0.657886266708374, 0.8293237686157227, 0.7135385274887085, 0.6511160135269165, 0.7888405919075012, 0.6775524020195007, 0.706849217414856, 0.7276350259780884, 0.6662688255310059, 0.663070023059845, 0.7900474071502686, 0.6569269895553589, 0.6796355247497559, 0.8449034690856934, 0.790827751159668, 0.817090630531311, 0.6841263175010681, 0.6586810946464539, 0.669599711894989, 0.7116078734397888, 0.8000835180282593, 0.6956375241279602, 0.6692490577697754, 0.7081478238105774, 0.7303304076194763, 0.7345288395881653, 0.7494595646858215, 0.7185711860656738, 0.6840014457702637, 0.6535528898239136, 0.6582948565483093, 0.7056356072425842, 0.753557562828064, 0.7374017834663391, 0.653954267501831, 0.7385537028312683, 0.7139094471931458, 0.7202559113502502, 0.7078461647033691, 0.6626848578453064, 0.7196011543273926, 0.6755931377410889, 0.6536311507225037, 0.7245204448699951, 0.7143368721008301, 0.7240896224975586, 0.6653213500976562, 0.7715727686882019, 0.6706242561340332, 0.7978609204292297, 0.7126805782318115, 0.6838762760162354, 0.7279568314552307, 0.7593191266059875, 0.7972426414489746, 0.721195638179779, 0.7578858733177185, 0.7059823870658875, 0.6621249318122864, 0.6501160860061646, 0.6926203370094299])","dict_keys(['transporte aprovechamiento', 'transporte mantenimiento', 'transporte transporte', 'transporte abastecimiento', 'transporte almacenamiento', 'transporte distribución', 'eléctricos energéticos', 'eléctricos eólicos', 'eléctricos combustibles', 'eléctricos condensadores', 'eléctricos híbridos', 'eléctricos medidores', 'eléctricos eléctricos', 'batería baterías', 'vehículo vehículos', 'la esta', 'la una', 'la la', 'no que', 'no no'])","dict_values([0.6558911204338074, 0.710953414440155, 1.0, 0.7645754218101501, 0.7192397713661194, 0.6518039107322693, 0.7293578386306763, 0.6690302491188049, 0.6869521141052246, 0.6571120619773865, 0.6618930101394653, 0.6651615500450134, 1.0, 0.7273781895637512, 0.6968175172805786, 0.6600267291069031, 0.660082995891571, 0.939012348651886, 0.7017618417739868, 0.9680165648460388])","dict_keys(['de agua', 'de de', '  abastecimiento', '  potable', 'saneamiento aprovechamiento', 'saneamiento infraestructura', 'saneamiento ambiental', 'saneamiento renovación', 'saneamiento operación', 'saneamiento recuperación', 'saneamiento mantenimiento', 'saneamiento construcción', 'saneamiento residenciales', 'saneamiento aprovechamientos', 'saneamiento restauración', 'saneamiento transporte', 'saneamiento protección', 'saneamiento utilización', 'saneamiento implementación', 'saneamiento evaluación', 'saneamiento instalación', 'saneamiento colocación', 'saneamiento adquisición', 'saneamiento abastecimiento', 'saneamiento certificación', 'saneamiento automatización', 'saneamiento integral', 'saneamiento financiación', 'saneamiento distribución', 'saneamiento tratamiento', 'saneamiento integración', 'saneamiento reducción', 'saneamiento gestión', 'saneamiento desarrollo', 'saneamiento planeación', 'saneamiento potable', 'saneamiento sostenibilidad', 'saneamiento eficiencia', 'saneamiento ambientales'])","dict_values([0.6834083199501038, 0.7838726043701172, 0.7688122987747192, 1.0000001192092896, 0.7825958132743835, 0.7392663359642029, 0.6879059076309204, 0.720790684223175, 0.6717126965522766, 0.7307438254356384, 0.8064507842063904, 0.7476200461387634, 0.6700556874275208, 0.7209073901176453, 0.7020531296730042, 0.6535717844963074, 0.6789427995681763, 0.6656000018119812, 0.7485694289207458, 0.6689086556434631, 0.7079069018363953, 0.6617632508277893, 0.6666984558105469, 0.8477514386177063, 0.6655282378196716, 0.6821047067642212, 0.6526190638542175, 0.703571617603302, 0.6780389547348022, 0.6849666833877563, 0.69559246301651, 0.6628037691116333, 0.6870121359825134, 0.698153555393219, 0.7208747267723083, 0.7671767473220825, 0.7191041707992554, 0.6582695245742798, 0.6603173613548279])","dict_keys(['adecuación aprovechamiento', 'adecuación infraestructura', 'adecuación aplicables', 'adecuación renovación', 'adecuación continuación', 'adecuación eﬁciencia', 'adecuación operación', 'adecuación generación', 'adecuación mejora', 'adecuación especificaciones', 'adecuación recuperación', 'adecuación innovación', 'adecuación mantenimiento', 'adecuación participación', 'adecuación construcción', 'adecuación producción', 'adecuación aprovechamientos', 'adecuación transmisión', 'adecuación recolección', 'adecuación restauración', 'adecuación protección', 'adecuación utilización', 'adecuación convencional', 'adecuación determinadas', 'adecuación seguridad', 'adecuación implementación', 'adecuación condición', 'adecuación convencionales', 'adecuación acción', 'adecuación evaluación', 'adecuación instalación', 'adecuación colocación', 'adecuación promoción', 'adecuación adquisición', 'adecuación respectiva', 'adecuación transición', 'adecuación abastecimiento', 'adecuación gasificación', 'adecuación ampliación', 'adecuación calificación', 'adecuación productividad', 'adecuación almacenamiento', 'adecuación elegibilidad', 'adecuación certificación', 'adecuación automatización', 'adecuación integral', 'adecuación financiación', 'adecuación distribución', 'adecuación tratamiento', 'adecuación integración', 'adecuación reducción', 'adecuación gestión', 'adecuación elección', 'adecuación desarrollo', 'adecuación planeación', 'adecuación sostenibilidad', 'adecuación eficiencia', 'adecuación ambientales', 'adecuación clasificación', 'adecuación incidencia', 'adecuación mediante'])","dict_values([0.7930677533149719, 0.7346211075782776, 0.6584311127662659, 0.8079515099525452, 0.6955091953277588, 0.7085339426994324, 0.7493667006492615, 0.6645288467407227, 0.6549800038337708, 0.7043332457542419, 0.783725380897522, 0.7159221768379211, 0.7706381678581238, 0.6652055382728577, 0.778994619846344, 0.6623302698135376, 0.7374405860900879, 0.670541524887085, 0.6795417070388794, 0.7633522748947144, 0.7369365096092224, 0.8224044442176819, 0.7078211307525635, 0.6776387691497803, 0.6852381825447083, 0.8621118664741516, 0.6939544677734375, 0.6964022517204285, 0.6856014132499695, 0.8495463132858276, 0.7925971746444702, 0.7896512150764465, 0.6870120763778687, 0.7799366116523743, 0.714571475982666, 0.7431526780128479, 0.6941401958465576, 0.6501879096031189, 0.6865428686141968, 0.774557888507843, 0.7141214609146118, 0.6502788662910461, 0.7566782236099243, 0.7744370698928833, 0.7814555764198303, 0.6706912517547607, 0.7611367106437683, 0.7579968571662903, 0.6975643634796143, 0.8163694739341736, 0.7362525463104248, 0.7133614420890808, 0.6734189391136169, 0.6739699244499207, 0.808627724647522, 0.7778524160385132, 0.7663856744766235, 0.6529917120933533, 0.7238561511039734, 0.6938608288764954, 0.6505210995674133])","dict_keys(['reciclar reciclado', 'reciclar reciclaje', 'reutilizar utilización', 'reutilizar almacenamiento', 'reutilizar seleccionar'])","dict_values([0.7682274580001831, 0.799636960029602, 0.6583206057548523, 0.6537311673164368, 0.6536734700202942])","dict_keys(['construcciones inversiones', 'construcciones emisiones', 'construcciones especificaciones', 'construcciones materiales', 'construcciones construcción', 'construcciones interconectadas', 'construcciones naciones', 'construcciones residenciales', 'construcciones aprovechamientos', 'construcciones aplicaciones', 'construcciones restauración', 'construcciones convencionales', 'construcciones inundaciones', 'construcciones comunidades', 'construcciones estaciones', 'construcciones instalaciones', 'construcciones plantas', 'construcciones ciudades', 'construcciones técnicas', 'construcciones fuentes', 'construcciones entidades', 'construcciones plantaciones', 'y y', 'y sostenibles', 'y inteligentes', 'y comerciales', 'y materiales', 'la esta', 'la una', 'la la'])","dict_values([0.6925387978553772, 0.6702512502670288, 0.7686882019042969, 0.6555197238922119, 0.6700930595397949, 0.6600746512413025, 0.7139874696731567, 0.7132470011711121, 0.6915837526321411, 0.7221720814704895, 0.6885632276535034, 0.6891683340072632, 0.7145461440086365, 0.7373782396316528, 0.7819879055023193, 0.807640016078949, 0.6657102108001709, 0.7029916644096375, 0.6566539406776428, 0.6967828273773193, 0.6680960059165955, 0.8306095004081726, 0.9070735573768616, 0.6647298336029053, 0.6899338960647583, 0.6772567629814148, 0.6561600565910339, 0.6722126603126526, 0.6802256107330322, 0.947020411491394])"
3,Bono_Azul_-_Framework,False,dict_keys([]),dict_values([]),dict_keys([]),dict_values([]),dict_keys(['de de']),dict_values([0.9079835414886475]),dict_keys([]),dict_values([]),dict_keys(['conservación elegibilidad']),dict_values([0.6536311507225037]),dict_keys([]),dict_values([]),dict_keys(['de de']),dict_values([0.7838726043701172]),dict_keys(['adecuación elegibilidad']),dict_values([0.7566782236099243]),dict_keys([]),dict_values([]),dict_keys(['y y']),dict_values([0.9070735573768616])
4,"Marco_de_referencia_de_bono_verde_Coopeguanacaste,_R_L_",True,"dict_keys(['renovable renovables', 'solar solar', 'hidroelectricidad gasificación', 'hidroelectricidad descarbonización', 'hidroelectricidad eléctrica', 'hidroelectricidad construcción', 'hidroelectricidad eléctricos', 'potencia movilidad', 'potencia gasificación', 'potencia generación', 'cuadrícula (', 'generación tecnología', 'generación movilidad', 'generación gasificación', 'generación realización', 'generación descarbonización', 'generación generación', 'generación construcción'])","dict_values([0.7942190170288086, 1.0, 0.725591778755188, 0.6773465871810913, 0.7523226737976074, 0.6734979748725891, 0.6735696792602539, 0.6924809813499451, 0.658100426197052, 0.6889737248420715, 0.935081958770752, 0.6990413665771484, 0.6666887998580933, 0.7534712553024292, 0.685573160648346, 0.7429869771003723, 1.0, 0.7284303903579712])","dict_keys(['red red', 'acondicionar realizar'])","dict_values([0.7134368419647217, 0.6741795539855957])","dict_keys(['contaminación ambiental', 'contaminación movilidad', 'contaminación fiscalización', 'contaminación gasificación', 'contaminación realización', 'contaminación habilitación', 'contaminación descarbonización', 'contaminación generación', 'contaminación construcción', 'de de', 'de provenientes'])","dict_values([0.7083898186683655, 0.6967695951461792, 0.7295295596122742, 0.796724796295166, 0.689024031162262, 0.6785174608230591, 0.8036044239997864, 0.6756938099861145, 0.7008307576179504, 0.9079835414886475, 0.6573878526687622])","dict_keys(['. r.l', '. valorizables', '. favorable', '. construcción', '. huacas', '. otorgados', '. fondos', '. fiscalizaciones'])","dict_values([0.8423397541046143, 0.9034574627876282, 0.891533613204956, 0.8560630679130554, 0.8966912627220154, 0.8606899976730347, 0.7643617987632751, 0.8523979187011719])","dict_keys(['biodiversidad ambiental', 'biodiversidad gasificación', 'biodiversidad descarbonización', 'conservación ambiental', 'conservación movilidad', 'conservación contribuyen', 'conservación fiscalización', 'conservación gestión', 'conservación gasificación', 'conservación realización', 'conservación habilitación', 'conservación descarbonización', 'conservación generación', 'conservación determinadas', 'conservación financiamiento', 'conservación referencia', 'conservación condiciones', 'conservación construcción'])","dict_values([0.7218202948570251, 0.6618345379829407, 0.6588060855865479, 0.7266891002655029, 0.667081356048584, 0.6840014457702637, 0.7725793123245239, 0.6838762760162354, 0.8011845946311951, 0.8137819766998291, 0.7636355757713318, 0.7898179888725281, 0.6858956813812256, 0.6586810946464539, 0.6899240612983704, 0.6636451482772827, 0.6572515964508057, 0.806158721446991])","dict_keys(['transporte servicio', 'eléctricos eléctricos', 'eléctricos eléctrica', 'cargador dispositivo', 'la una', 'la la', 'la esa', 'la esta', 'no que', 'no no'])","dict_values([0.6618167757987976, 1.0, 0.7007869482040405, 0.6804243922233582, 0.660082995891571, 0.939012348651886, 0.6787484884262085, 0.6600267291069031, 0.7017618417739868, 0.9680165648460388])","dict_keys(['de de', 'saneamiento ambiental', 'saneamiento fiscalización', 'saneamiento gestión', 'saneamiento municipalidades', 'saneamiento gasificación', 'saneamiento realización', 'saneamiento habilitación', 'saneamiento descarbonización', 'saneamiento financiamiento', 'saneamiento construcción'])","dict_values([0.7838726043701172, 0.6879059076309204, 0.7632912397384644, 0.6870121359825134, 0.6808856725692749, 0.7428053021430969, 0.7120962738990784, 0.7488428354263306, 0.7022638320922852, 0.759588897228241, 0.7476200461387634])","dict_keys(['adecuación movilidad', 'adecuación fiscalización', 'adecuación gestión', 'adecuación operativa', 'adecuación gasificación', 'adecuación realización', 'adecuación habilitación', 'adecuación descarbonización', 'adecuación generación', 'adecuación determinadas', 'adecuación financiamiento', 'adecuación referencia', 'adecuación construcción'])","dict_values([0.7253300547599792, 0.8114882707595825, 0.7133614420890808, 0.6725469827651978, 0.8322635889053345, 0.8257564902305603, 0.8525652289390564, 0.7524663805961609, 0.6645288467407227, 0.6776387691497803, 0.7102667093276978, 0.6993454694747925, 0.778994619846344])",dict_keys([]),dict_values([]),"dict_keys(['construcciones municipalidades', 'construcciones previsiones', 'construcciones fuentes', 'construcciones conciliaciones', 'construcciones condiciones', 'construcciones construcción', 'construcciones proyecciones', 'y eléctricos', 'y y', 'la una', 'la la', 'la esa', 'la esta'])","dict_values([0.7141571044921875, 0.6867573857307434, 0.6967828273773193, 0.7309611439704895, 0.6861790418624878, 0.7864859104156494, 0.7701680660247803, 0.678961455821991, 0.9070735573768616, 0.6802256107330322, 0.947020411491394, 0.6537520885467529, 0.6722126603126526])"
