,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,AES-Green-Financing-Framework-Reporting-May-2025,True,"{'transmission transmission': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'generation generation': 1.0, 'wind wind': 1.0}",{'efficiency efficiency': 1.0},{},{},{},{'electric electric': 1.0},{},{},{},{}
1,BNDES_Green_Bond_Framework,True,"{'solar solar': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0}",{},{},{},{},{},{},{},{},{}
2,Climate_Bond_Framework_of_Athon_in_2021,True,"{'storage storage': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'hydropower hydropower': 1.0, 'generation generation': 1.0}",{},{},{},{},{},{},{},{},{}
3,greenbondsprogramme,True,"{'power power': 1.0, 'geothermal geothermal': 1.0, 'generation generation': 1.0}",{},{'waste waste': 1.0},{},{},{},{'water water': 1.0},{},{},{'buildings buildings': 1.0}
4,Rumo_Green_Bond_2028_Framework,False,{},{'efficiency efficiency': 1.0},{'pollution pollution': 1.0},{},{},"{'transportation transportation': 1.0, 'train train': 1.0}",{},{},{},{}
5,Green_Bonds_Framework_-_Banco_Pichincha,True,"{'cuadrícula (': 0.8759618401527405, 'hidroelectricidad hidroeléctricos': 0.8131045699119568, 'cuadrícula carbono': 0.895461916923523, 'cuadrícula invernadero': 0.9225730299949646, 'cuadrícula etc.': 0.8645485043525696, 'biomasa biomasa': 1.0, 'bioenergía energía': 0.8198480606079102, 'cuadrícula elegibles': 0.9043614268302917, 'cuadrícula )': 0.9524128437042236, 'renovable renovable': 1.0, 'generación generación': 1.0, 'cuadrícula gris': 0.8843579888343811}",{},{'de de': 0.9079835414886475},{},"{'conservación aprovechamiento': 0.8383619785308838, 'conservación reforestación': 0.8358405828475952, 'terrestre terrestres': 0.8388893604278564, 'conservación reutilización': 0.8417978286743164, 'conservación construcción': 0.806158721446991, 'conservación implementación': 0.8000835180282593}","{'transporte transporte': 1.0, 'eléctricos eléctricos': 1.0, 'no no': 0.9680165648460388, 'la la': 0.939012348651886}",{},"{'adecuación ampliación': 0.8508791923522949, 'adecuación renovación': 0.8079515099525452, 'adecuación reutilización': 0.829303503036499, 'adecuación implementación': 0.8621118664741516}",{},"{'construcciones edificaciones': 0.9605708122253418, 'y y': 0.9070735573768616, 'la la': 0.947020411491394}"
6,Framework_ISA_CTEEP,True,"{'transmissão transmissão': 1.0, 'energia energia': 0.9084944128990173}",{'eficiência confiabilidade': 0.8855222463607788},{},{},{},{'Elev elétrica': 1.0},{},{},{},{}
