,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'generation generation': 0.8221270442008972, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644, 'power power': 1.0, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'solar photovoltaic': 0.673722505569458, 'solar solar': 1.0, 'transmission transmission': 1.0}",{},{'pollution emissions': 0.6611024141311646},{},{},{'electric electricity': 0.671796441078186},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'generation generation': 1.0, 'power power': 0.8561059832572937, 'renewable fuels': 0.6609903573989868, 'biofuel fuels': 0.6979803442955017, 'storage storage': 1.0, 'hydropower hydroelectricity': 0.7877737283706665, 'hydroelectric hydroelectricity': 0.7851191759109497, 'transmission transmission': 1.0, 'hydrogen hydrogen': 1.0, 'renewable sustainable': 0.6980571150779724, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'wind wind': 0.861217200756073, 'solar solar': 1.0, 'grid grids': 0.8352745771408081, 'solar photovoltaic': 0.7326631546020508}","{'efficiency efficient': 0.7573143839836121, 'efficiency efficiency': 1.0}","{'pollution emissions': 0.7256803512573242, 'pollution environmental': 0.7345117926597595, 'waste waste': 1.0, 'waste disposal': 0.7371389269828796}",{},{'conservation environmental': 0.6870467066764832},"{'electric electric': 1.0, 'car vehicles': 0.6677736043930054, 'vehicle vehicles': 0.8584986925125122, 'transportation transport': 0.7263567447662354, 'battery charging': 0.6677409410476685, 'car car': 1.0, 'vehicle car': 0.7667538523674011, 'electric electrical': 0.696951687335968, 'transportation transportation': 1.0, 'non non': 0.673454999923706, 'transportation transit': 0.7536609768867493}","{'water water': 1.0, 'wastewater sewerage': 0.693297266960144, 'potable potable': 1.0, 'treatment treatment': 1.0, 'treatment treated': 0.6804186105728149, 'wastewater wastewater': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'grid grid': 0.8128994703292847, 'renewable non': 0.72650146484375, 'storage storage': 0.8670341372489929, 'biofuel feedstock': 0.6825680732727051, 'biomass feedstock': 0.6808685064315796, 'renewable renewable': 1.0, 'renewable sustainable': 0.6980571150779724, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'renewable biofuel': 0.6902978420257568, 'bioenergy biofuel': 0.7225276827812195, 'biofuel biofuel': 1.0, 'biomass biofuel': 0.706613302230835, 'power power': 0.6502714157104492, 'hydroelectric hydro': 0.6562404036521912, 'transmission transmission': 1.0, 'renewable renewables': 0.6758511066436768, 'wind wind': 1.0, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'geothermal hydropower': 0.6691315770149231, 'generation generation': 1.0, 'hydrogen hydrogen': 1.0, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644}","{'efficiency efficient': 0.7573143839836121, 'efficiency efficiency': 1.0}","{'pollution environmental': 0.7345117926597595, 'waste non': 0.719495415687561, 'pollution emissions': 0.6577414870262146, 'waste recycling': 0.7248635292053223, 'pollution pollution': 1.0, 'waste waste': 1.0}","{'food food': 1.0, 'agriculture livestock': 0.6849189400672913, 'forest trees': 0.7166857123374939, 'agriculture agriculture': 1.0, 'forestry agriculture': 0.7442550659179688, 'fisheries aquaculture': 0.780072808265686, 'agriculture agricultural': 0.898859441280365, 'forestry agricultural': 0.7465479969978333, 'forest forest': 0.8461655378341675, 'forest vegetation': 0.6971878409385681, 'forest (': 0.7941798567771912, 'land land': 1.0, 'agriculture use': 0.7049866318702698, 'forest habitat': 0.6599066853523254, 'forest forests': 0.7698853611946106, 'land “': 0.8367156982421875}","{'conservation environmental': 0.6870467066764832, 'biodiversity biodiversity': 0.8632800579071045, 'conservation biodiversity': 0.6833131313323975, 'conservation conservation': 1.0, 'biodiversity ecosystem': 0.7130314111709595, 'biodiversity ecosystems': 0.8021105527877808, 'biodiversity high': 0.7036025524139404, 'biodiversity conservation': 0.748937726020813, 'terrestrial terrestrial': 1.0, 'biodiversity habitat': 0.6996741890907288, 'conservation habitat': 0.7173020243644714}","{'non non': 0.7179298400878906, 'rail rail': 1.0, 'electric electric': 0.8524656295776367, 'car vehicles': 0.6677736043930054, 'vehicle vehicles': 0.7465182542800903, 'transportation transportation': 1.0, 'transportation transport': 0.6649630665779114, 'battery charging': 0.6677409410476685, 'battery battery': 1.0, 'charger battery': 0.8197756409645081, 'transportation freight': 0.6578854918479919, 'car vehicle': 0.7667538523674011, 'vehicle vehicle': 1.0, 'electric electricity': 0.671796441078186, 'bicycle motorcycle': 0.7087193131446838}","{'wastewater wastewater': 1.0, 'water water': 0.8583021759986877, 'sanitation sanitation': 0.8295572996139526, 'treatment treatment': 0.8470622897148132}","{'adaptation adaptation': 1.0, 'disaster disasters': 0.8176723718643188}","{'recycle recyclable': 0.6732295155525208, 'recycle recycling': 0.8278464674949646, 'reuse recycling': 0.6530712246894836}","{'housing housing': 1.0, 'buildings buildings': 0.8454830050468445}"
3,CADU_GREEN_BOND_FRAMEWORK,True,"{'renewable sustainable': 0.6980571150779724, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644}",{'efficiency efficiency': 1.0},"{'pollution emissions': 0.6611024141311646, 'pollution environmental': 0.7345117926597595, 'waste waste': 1.0, 'pollution impacts': 0.6625850796699524}",{},{'conservation environmental': 0.6870467066764832},{'electric electricity': 0.671796441078186},"{'water water': 0.8583021759986877, 'wastewater sewage': 0.6909952759742737}",{},{},"{'buildings buildings': 1.0, 'buildings houses': 0.7476946711540222, 'housing housing': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'biomass biomass': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'solar solar': 1.0, 'hydropower hydropower': 1.0, 'hydroelectric hydropower': 0.885119616985321, 'geothermal hydropower': 0.6691315770149231, 'renewable biomass': 0.6758356690406799, 'bioenergy biomass': 0.6998761892318726, 'biofuel biomass': 0.706613302230835, 'wind wind': 1.0, 'hydropower geothermal': 0.6691315770149231, 'hydroelectric geothermal': 0.6517502665519714, 'geothermal geothermal': 1.0}",{},"{'waste recycling': 0.7248635292053223, 'waste waste': 1.0}",{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},"{'recycle recycling': 0.8278464674949646, 'reuse recycling': 0.6530712246894836}",{}
5,EGE_Haina_Green_Securities_Framework,True,"{'generation generation': 1.0, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'power power': 1.0, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'wind wind': 1.0, 'solar photovoltaic': 0.7906877398490906, 'solar thermo': 0.7455868721008301, 'solar solar': 1.0, 'storage storage': 1.0, 'transmission transmission': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'generation generation': 1.0, 'biofuel bioethanol': 0.7171676754951477, 'storage storage': 1.0, 'renewable biomass': 0.6758356690406799, 'bioenergy biomass': 0.6998761892318726, 'biofuel biomass': 0.706613302230835, 'biomass biomass': 0.682433009147644, 'biofuel feedstock': 0.6825680732727051, 'biomass feedstock': 0.6808685064315796, 'renewable sustainable': 0.6980571150779724, 'biofuel ethanol': 0.7176938056945801, 'biofuel biofuel': 1.0, 'renewable biofuel': 0.6902978420257568, 'bioenergy biofuel': 0.7225276827812195, 'biomass biofuel': 0.706613302230835, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644}","{'efficiency efficient': 0.7573143839836121, 'efficiency productivity': 0.6503185033798218}","{'pollution environmental': 0.7345117926597595, 'pollution impacts': 0.6625850796699524}","{'forest forests': 0.7698853611946106, 'forest vegetation': 0.6971878409385681, 'forestry forestry': 1.0, 'agriculture agricultural': 0.898859441280365, 'forestry agricultural': 0.7465479969978333, 'land lands': 0.7620790004730225, 'forest (': 0.7941798567771912, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry agriculture': 0.7442550659179688, 'agriculture forestry': 0.7442550659179688, 'forest forest': 1.0}","{'conservation conservation': 0.7817807793617249, 'conservation environmental': 0.6870467066764832, 'biodiversity deforestation': 0.6676686406135559}","{'non non': 0.6694971919059753, 'car car': 1.0, 'vehicle car': 0.7667538523674011, 'electric electricity': 0.671796441078186}",{'water water': 0.8583021759986877},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'generation generation': 1.0, 'biofuel bioethanol': 0.7171676754951477, 'storage storage': 1.0, 'renewable biomass': 0.6758356690406799, 'bioenergy biomass': 0.6998761892318726, 'biofuel biomass': 0.706613302230835, 'biomass biomass': 1.0, 'biofuel feedstock': 0.6825680732727051, 'biomass feedstock': 0.6808685064315796, 'renewable sustainable': 0.6980571150779724, 'biofuel ethanol': 0.7176938056945801, 'biofuel biofuel': 1.0, 'renewable biofuel': 0.6902978420257568, 'bioenergy biofuel': 0.7225276827812195, 'biomass biofuel': 0.706613302230835, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644}","{'efficiency efficient': 0.7573143839836121, 'efficiency productivity': 0.6503185033798218}","{'pollution environmental': 0.7345117926597595, 'pollution impacts': 0.6625850796699524}","{'forest forests': 0.7698853611946106, 'forest vegetation': 0.6971878409385681, 'forestry forestry': 0.784554123878479, 'agriculture agricultural': 0.898859441280365, 'forestry agricultural': 0.7465479969978333, 'land lands': 0.7620790004730225, 'forest (': 0.7941798567771912, 'land land': 1.0, 'agriculture agriculture': 1.0, 'forestry agriculture': 0.7442550659179688, 'forest forest': 1.0}","{'conservation conservation': 0.7817807793617249, 'conservation environmental': 0.6870467066764832, 'biodiversity deforestation': 0.6676686406135559}","{'non non': 0.6694971919059753, 'car car': 1.0, 'vehicle car': 0.7667538523674011, 'electric electricity': 0.671796441078186}",{'water water': 0.8583021759986877},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'biofuel feedstock': 0.6825680732727051, 'biomass feedstock': 0.6808685064315796, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'wind wind': 1.0, 'solar solar': 1.0, 'storage storage': 1.0, 'hydroelectric hydro': 0.6562404036521912}",{},{'pollution emissions': 0.7256803512573242},{},{},"{'battery battery': 1.0, 'charger battery': 0.8197756409645081}",{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'generation generation': 0.6946858167648315, 'power power': 1.0, 'wind wind': 1.0, 'hydrogen dioxide': 0.6534821391105652, 'renewable sustainable': 0.6980571150779724, 'transmission transmitted': 0.6671282052993774, 'renewable energy': 0.6823998093605042, 'power energy': 0.6578531265258789, 'renewable renewable': 1.0, 'bioenergy renewable': 0.6511064171791077, 'biofuel renewable': 0.6902978420257568, 'biomass renewable': 0.6758356690406799, 'transmission transmission': 1.0, 'renewable electricity': 0.6735955476760864, 'solar electricity': 0.655821681022644, 'grid grid': 0.8339791297912598}",{},"{'pollution emissions': 0.7256803512573242, 'pollution environmental': 0.7345117926597595, 'pollution pollution': 1.0}",{},"{'conservation conservation': 0.8356547355651855, 'conservation environmental': 0.6870467066764832, 'biodiversity biodiversity': 1.0, 'conservation biodiversity': 0.748937726020813}",{'electric electricity': 0.671796441078186},{},{'adaptation adaptation': 0.8294525742530823},{},{}
