,pdfname,energy_system_uop,simsre,simsee,simsppc,simsesml,simstabc,simsct,simsswwm,simscca,simsce,simsgb
0,Climate_Bond_Framework_of_E1_SUBHOLDING_S_A__in_2021,True,"{'transmission transmission': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'generation generation': 1.0}",{},{},{},{},{},{},{},{},{}
1,Bci_Sustainable_Financing_Framework,True,"{'transmission transmission': 1.0, 'power power': 1.0, 'hydrogen hydrogen': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'generation generation': 1.0, 'storage storage': 1.0}",{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},"{'car car': 1.0, 'electric electric': 1.0, 'transportation transportation': 1.0}","{'treatment treatment': 1.0, 'wastewater wastewater': 1.0, 'potable potable': 1.0, 'water water': 1.0}",{},{},{'buildings buildings': 1.0}
2,BTG_Sustainable_Financing_Framework,True,"{'transmission transmission': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'grid grid': 1.0, 'hydrogen hydrogen': 1.0, 'storage storage': 1.0, 'biofuel biofuel': 1.0, 'hydropower hydropower': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'generation generation': 1.0}",{'efficiency efficiency': 1.0},"{'waste waste': 1.0, 'pollution pollution': 1.0}","{'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0, 'food food': 1.0}","{'biodiversity biodiversity': 1.0, 'terrestrial terrestrial': 1.0, 'conservation conservation': 1.0}","{'transportation transportation': 1.0, 'vehicle vehicle': 1.0, 'electric electric': 1.0, 'rail rail': 1.0, 'battery battery': 1.0}","{'wastewater wastewater': 1.0, 'water water': 1.0, 'sanitation sanitation': 1.0}",{'adaptation adaptation': 1.0},{},"{'buildings buildings': 1.0, 'housing housing': 1.0}"
3,CADU_GREEN_BOND_FRAMEWORK,False,{},{'efficiency efficiency': 1.0},{'waste waste': 1.0},{},{},{},{'water water': 1.0},{},{},"{'housing housing': 1.0, 'buildings buildings': 1.0}"
4,CIFI_Green_Bond_Framework,True,"{'hydropower hydropower': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'geothermal geothermal': 1.0, 'wind wind': 1.0, 'biomass biomass': 1.0}",{},{'waste waste': 1.0},{},{},{},"{'treatment treatment': 1.0, 'wastewater wastewater': 1.0}",{},{},{}
5,EGE_Haina_Green_Securities_Framework,True,"{'transmission transmission': 1.0, 'storage storage': 1.0, 'power power': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0, 'generation generation': 1.0}",{},{},{'land land': 1.0},{},{'electric electric': 1.0},{'water water': 1.0},{},{},{}
6,FS_Green_Bond_Framework_-_July_2021,True,"{'biomass biomass': 1.0, 'biofuel biofuel': 1.0, 'generation generation': 1.0, 'storage storage': 1.0}",{},{},"{'land land': 1.0, 'forestry forestry': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
7,FS_Green_Bond_Framework_-_November_2020,True,"{'biomass biomass': 1.0, 'biofuel biofuel': 1.0, 'generation generation': 1.0, 'storage storage': 1.0}",{},{},"{'land land': 1.0, 'agriculture agriculture': 1.0, 'forest forest': 1.0}",{},{'car car': 1.0},{'water water': 1.0},{},{},{}
8,Genneia_Green_Bond_Framework,True,"{'storage storage': 1.0, 'solar solar': 1.0, 'renewable renewable': 1.0, 'wind wind': 1.0}",{},{},{},{},{'battery battery': 1.0},{},{},{},{}
9,ILAP_Green_Financing_Framework,True,"{'transmission transmission': 1.0, 'power power': 1.0, 'renewable renewable': 1.0, 'generation generation': 1.0, 'wind wind': 1.0}",{},{'pollution pollution': 1.0},{},{'biodiversity biodiversity': 1.0},{},{},{},{},{}
